Topic,Question,BT Level
Method Overloading,Formulate a Java mini-project that showcases Method Overloading.,Create
Thread Synchronization,"Using Thread Synchronization, write a program to solve a simple problem in Java.",Apply
this Keyword,"Determine whether this Keyword improves or harms the efficiency of a Java program, and justify.",Evaluate
Arrays,Break down the working of Arrays in Java and analyze each step.,Analyze
Composition,"Using Composition, write a program to solve a simple problem in Java.",Apply
Variables,Recall the default value associated with Variables in Java.,Remember
BufferedReader,Evaluate two different approaches to implementing BufferedReader in Java and recommend one.,Evaluate
Method Overloading,State two characteristics of Method Overloading in Java.,Remember
Exception Handling,Apply the concept of Exception Handling to complete a partially written Java program.,Apply
Variable Scope,Write a Java code snippet that makes use of Variable Scope.,Apply
Bitwise Operators,Evaluate the effectiveness of using Bitwise Operators in a Java application.,Evaluate
Inheritance,State two characteristics of Inheritance in Java.,Remember
File Handling,Apply the concept of File Handling to complete a partially written Java program.,Apply
Has-A Relationship,Formulate a Java mini-project that showcases Has-A Relationship.,Create
TreeMap,"Determine whether TreeMap improves or harms the efficiency of a Java program, and justify.",Evaluate
Static Binding,Assess the impact of Static Binding on the maintainability of Java code.,Evaluate
equals and hashCode,Create a Java application that uses equals and hashCode to manage data for a small system.,Create
File Handling,Explain the advantages of using File Handling in Java.,Understand
Abstraction,Design a Java program that integrates Abstraction to solve a real-world problem.,Create
Operators,Describe how Operators works in Java.,Understand
Multidimensional Arrays,Construct a Java program that applies Multidimensional Arrays to process data.,Apply
Packages,Design a Java program using Packages to model a real-life entity.,Create
ClassLoaderBasics,Devise a Java program that uses ClassLoaderBasics to implement a custom feature.,Create
Method Overriding,Examine the relationship between Method Overriding and memory usage in Java.,Analyze
equals and hashCode,Analyze the time complexity of operations involving equals and hashCode in Java.,Analyze
Inner Classes,Discuss the significance of Inner Classes in Java.,Understand
Custom Exceptions,Explain the advantages of using Custom Exceptions in Java.,Understand
Thread Synchronization,Formulate a Java mini-project that showcases Thread Synchronization.,Create
Labeled Loops,Write a Java code snippet that makes use of Labeled Loops.,Apply
String Buffer and Builder,Argue for or against the use of String Buffer and Builder in a given Java scenario.,Evaluate
Access Modifiers,Compare Access Modifiers with a related concept in Java and analyze the differences.,Analyze
Packages,Create a Java application that uses Packages to manage data for a small system.,Create
Annotations,Analyze the output of a Java program that uses Annotations.,Analyze
Var-args,Distinguish between correct and incorrect uses of Var-args in Java with analysis.,Analyze
Variable Scope,Evaluate the correctness and quality of a Java solution that uses Variable Scope.,Evaluate
Immutable Class,Explain the concept of Immutable Class in Java with an example.,Understand
File Handling,Build a Java solution that uses File Handling and explain your design choices.,Create
JDK and JRE,Construct a Java program that applies JDK and JRE to process data.,Apply
Final Keyword,Apply Final Keyword to write a Java program that takes user input and produces output.,Apply
Labeled Loops,Examine how Labeled Loops affects the performance of a Java program.,Analyze
Thread Synchronization,Explain the working of Thread Synchronization in Java in your own words.,Understand
HashSet,Analyze the output of a Java program that uses HashSet.,Analyze
Method Overriding,Explain how Method Overriding differs from its alternatives in Java.,Understand
Singleton Class,Analyze a given Java code segment using Singleton Class and explain its behaviour.,Analyze
Abstraction,Differentiate between Abstraction and a related concept in Java.,Understand
Command Line Arguments,Argue for or against the use of Command Line Arguments in a given Java scenario.,Evaluate
Scanner Class,Examine the relationship between Scanner Class and memory usage in Java.,Analyze
Abstract Classes,Interpret the behaviour of Abstract Classes in Java with a suitable example.,Understand
Thread Lifecycle,Discuss the significance of Thread Lifecycle in Java.,Understand
Thread Synchronization,Argue for or against the use of Thread Synchronization in a given Java scenario.,Evaluate
Loops,Examine the relationship between Loops and memory usage in Java.,Analyze
Comparable and Comparator,Write the general form of Comparable and Comparator in Java.,Remember
Character Streams,Analyze how Character Streams interacts with other features of Java.,Analyze
Abstract Classes,Write the general form of Abstract Classes in Java.,Remember
Inner Classes,Create a Java application that uses Inner Classes to manage data for a small system.,Create
Thread Lifecycle,What is Thread Lifecycle in Java?,Remember
Marker Interface,Examine the relationship between Marker Interface and memory usage in Java.,Analyze
Interfaces,Mention the purpose of Interfaces in Java.,Remember
Autoboxing,What are the components of Autoboxing in Java?,Remember
Inheritance,Demonstrate the use of Inheritance through a Java program.,Apply
JDK and JRE,Write a Java program to demonstrate JDK and JRE.,Apply
Serialization,Critique a design decision that relies on Serialization in Java.,Evaluate
JVM Architecture,Explain the concept of JVM Architecture in Java with an example.,Understand
equals and hashCode,Discuss the significance of equals and hashCode in Java.,Understand
equals and hashCode,Apply the concept of equals and hashCode to complete a partially written Java program.,Apply
Enhanced For Loop,Explain the concept of Enhanced For Loop in Java with an example.,Understand
Stack,List the key features of Stack in Java.,Remember
Lambda Expressions,Design a Java program that integrates Lambda Expressions to solve a real-world problem.,Create
Association,State two characteristics of Association in Java.,Remember
Is-A Relationship,Build a Java solution that uses Is-A Relationship and explain your design choices.,Create
Scanner Class,Propose and implement an original Java solution using Scanner Class.,Create
Marker Interface,Analyze how Marker Interface interacts with other features of Java.,Analyze
Strings,"Recommend, with justification, when Strings should be used in Java.",Evaluate
Static Binding,Analyze the time complexity of operations involving Static Binding in Java.,Analyze
StringTokenizer,Analyze the time complexity of operations involving StringTokenizer in Java.,Analyze
BufferedReader,Define BufferedReader in Java.,Remember
this Keyword,Explain the working of this Keyword in Java in your own words.,Understand
